review_score,review_text,clean_text
5.0,"This was one of the best books I have ever read ... Easily, easily the best book by this author",one best book ever read easily easily best book author
5.0,"I have been a fan of L.J. Smith ever since book one of _The Vampire Diaries_. With each of her books you can honestly BELIEVE that what she is writing about is the truth, even if the characters are ficticious. Dughters of Darkness (as well as any Night World book or the Vampire Diaries trilogy) should be required reading for anyone who believes in Vampires (or thinks they are one *grin*). Happy reading",fan lj smith ever since book one vampire diary book honestly believe writing truth even character ficticious dughters darkness well night world book vampire diary trilogy required reading anyone belief vampire think one grin happy reading
5.0,"Finally, a historian has written a book that details the origins of modern Witchcraft and Wicca. And said historian actually did a great deal of research and backs up his thesis with factual, primary source material, as opposed to the usual fantastical wish-fulfillment claptrap that many Neo-Pagan authors use to support thier pet theories regarding the history of Witchcraft.Some people will be disappointed in this book, no doubt, for nowhere does Hutton mention an unbroken lineage of Witches that stretches beyond the burning times far into the dim reaches of matriarchal prehistory where all the women were strong, the men were beautiful, and the children were peaceful and never hit each other over the head with rocks whilst playing oppressive, competitive male-oriented team sports.What this book does detail is a plausible explaination as to -why- modern Witchcraft would arise at all, and how it fits into post industrial society. I cannot praise the fact that Hutton doesn't only delve into the history of Witchcraft, but he shows us why it is important in the first place, and what it has to say about society as a whole, and Neo-Pagans in specific.The book is well-written, if densely packed with information. It is not an easy read; if one skims, one is apt to miss essential details and lose sight of the myriad threads that Hutton traces in his search for the warp and weft of Witchcraft today. I took my time reading this book, savoring it with rhapsodic glee: it was good to find that there was an academic who had actually taken the time to prove some of my own pet theories about Witchcraft in England during the modern period.At any rate, this book belongs on the shelf of every literate and educated Witch, Wiccan and Neo-Pagan in the world. If we Witches ever got around to opening up schools, I believe this should be a standard history text for any class that includes the study of our religious beliefs. It is always important to know where one comes from, in order to better decide where one would like to go.",finally historian written book detail origin modern witchcraft wicca said historian actually great deal research back thesis factual primary source material opposed usual fantastical wishfulfillment claptrap many neopagan author use support thier pet theory regarding history witchcraftsome people disappointed book doubt nowhere hutton mention unbroken lineage witch stretch beyond burning time far dim reach matriarchal prehistory woman strong men beautiful child peaceful never hit head rock whilst playing oppressive competitive maleoriented team sportswhat book detail plausible explaination modern witchcraft would arise fit post industrial society cannot praise fact hutton doesnt delve history witchcraft show u important first place say society whole neopagans specificthe book wellwritten densely packed information easy read one skim one apt miss essential detail lose sight myriad thread hutton trace search warp weft witchcraft today took time reading book savoring rhapsodic glee good find academic actually taken time prove pet theory witchcraft england modern periodat rate book belongs shelf every literate educated witch wiccan neopagan world witch ever got around opening school believe standard history text class includes study religious belief always important know one come order better decide one would like go
4.0,"Your stomach turned by gruesome details? Then this is not the book for you! Well written with realistic discriptions of life in a forensic morgue, this book is extremely hard to put down. The ending is rather sudden, and somewhat of an anticlimax, but that aside I would defintely recomend this book to crime lovers - it will keep you guessing",stomach turned gruesome detail book well written realistic discriptions life forensic morgue book extremely hard put ending rather sudden somewhat anticlimax aside would defintely recomend book crime lover keep guessing
5.0,Poor Tess! Life is hard from beginning to end for this poor girl.Ikept hoping something would work out for her but alas it never did.Still a great read another Hardy classic I really enjoyed!,poor tess life hard beginning end poor girlikept hoping something would work ala never didstill great read another hardy classic really enjoyed
5.0,"Having just finished Greg Bear's brilliant &quot;Foundation &amp; Chaos&quot;, I've decided I can no longer wait to begin re-reading the original again. I wish I could take the next few months to start off with the Robot series, move on to the Galactic Empire series, and then finsh with the entire collection of the Foundation books (because it's all one big wunnerful story, doncha' know!). Well, not this year, perhaps, but in a few I may do just that. In the meantime, I will re-read &quot;Foundation&quot; with yet another new perspective of Hari Seldon and all that came before this original masterpiece... it truly never gets old.",finished greg bear brilliant quotfoundation amp chaosquot ive decided longer wait begin rereading original wish could take next month start robot series move galactic empire series finsh entire collection foundation book one big wunnerful story doncha know well year perhaps may meantime reread quotfoundationquot yet another new perspective hari seldon came original masterpiece truly never get old
5.0,"There is little I can add to the fine reviews already posted on this site. Library of America has done a fine job collecting these works, and adding useful sections on maps, notes, author mini bios and an excellent yet brief Chronology of the main events of WWII.Some of these articles verge on literature. Consider the following opening sentences of an article written by Mary Heaton Vorse on munition girl workers (""The girls of Elkton, Maryland"", p. 471):""It was pay day at the munitions plant. There seemed to be a run on the bank at Elkton.""Or, how about Ernye Plye reporting the London bombing of December 29, 1940 (p. 147):""Half an hour after the firing started I gathered a couple of friends and went to a high, darkened balcony that gave us a view of one-third of the entire circle of London. As we stepped out onto the balcony, a vast inner excitement came over all of us --an excitement that had neither fear nor horror in it, because it was too full of awe. You have all seen big fires, but I doubt if you have ever seen the whole horizon of a city lined with great fires...""You can skip articles back and forth if you wish, or read cover to cover, depending on your personal taste. And as another reviewer pointed out, these articles make great reading material for commuting, waiting at the doctor's office, etc. If you have any interest in World War II you will love this book.",little add fine review already posted site library america done fine job collecting work adding useful section map note author mini bios excellent yet brief chronology main event wwiisome article verge literature consider following opening sentence article written mary heaton vorse munition girl worker girl elkton maryland p pay day munition plant seemed run bank elktonor ernye plye reporting london bombing december p half hour firing started gathered couple friend went high darkened balcony gave u view onethird entire circle london stepped onto balcony vast inner excitement came u excitement neither fear horror full awe seen big fire doubt ever seen whole horizon city lined great firesyou skip article back forth wish read cover cover depending personal taste another reviewer pointed article make great reading material commuting waiting doctor office etc interest world war ii love book
5.0,"Most books that I rave about, I expect people to request at the public library. And, in most cases, that's fine.However, now &amp; then someone puts together a book that I refer to often for inspiration, affirmation, and the pure artistic energy it provides; &quot;Making Journals by Hand&quot; is one of the latter. (Other books on that short list including SARK's earliest books, and Natalie Goldberg's &quot;Living Color&quot;.)&quot;Making Journals by Hand&quot; has superb, simple, and detailed directions for even the most complex and professional journals. However, what charms me are the ideas that involve simple techniques and found materials... the kinds of things that are kicking around my house anyway. (You know, that box of stuff in the closet that's being saved because, &quot;someday this might be useful,&quot; ....? *LOL*)Sure, make certain your public library owns this book. But then, get your own copy. You'll want it on your bookshelf, and--more often--open, at your elbow, while you work on the many glorious and original projects in the book!",book rave expect people request public library case thats finehowever amp someone put together book refer often inspiration affirmation pure artistic energy provides quotmaking journal handquot one latter book short list including sarks earliest book natalie goldberg quotliving colorquotquotmaking journal handquot superb simple detailed direction even complex professional journal however charm idea involve simple technique found material kind thing kicking around house anyway know box stuff closet thats saved quotsomeday might usefulquot lolsure make certain public library owns book get copy youll want bookshelf andmore oftenopen elbow work many glorious original project book
4.0,"Yet another of Cornwells great reads!!! The story is non-stop, with twists here there and everywhere! A good ending......really keeps you guessing.",yet another cornwells great read story nonstop twist everywhere good endingreally keep guessing
5.0,"This book is really an enjoyable piece of work! Eve Curie wrote a wonderful biography of Madam Curie. I recommend this biography to all human beings that want to learn from a remarkable struggle to build a life, and a career in science.",book really enjoyable piece work eve curie wrote wonderful biography madam curie recommend biography human being want learn remarkable struggle build life career science
