group,method,rank,keyword,score
all_reviews,TF,1,story,210.0
all_reviews,TF,2,time,184.0
all_reviews,TF,3,like,163.0
all_reviews,TF,4,would,152.0
all_reviews,TF,5,novel,138.0
all_reviews,TF,6,character,135.0
all_reviews,TF,7,make,124.0
all_reviews,TF,8,people,122.0
all_reviews,TF,9,really,121.0
all_reviews,TF,10,good,119.0
all_reviews,TF,11,much,116.0
all_reviews,TF,12,love,113.0
all_reviews,TF,13,life,112.0
all_reviews,TF,14,many,109.0
all_reviews,TF,15,get,109.0
all_reviews,TF-IDF,1,story,0.025714543574999603
all_reviews,TF-IDF,2,time,0.023280816573227923
all_reviews,TF-IDF,3,great,0.021177635443023254
all_reviews,TF-IDF,4,like,0.020996174701472095
all_reviews,TF-IDF,5,really,0.02051754861069508
all_reviews,TF-IDF,6,love,0.020409009731051315
all_reviews,TF-IDF,7,would,0.020053652848226477
all_reviews,TF-IDF,8,good,0.01964033941758767
all_reviews,TF-IDF,9,character,0.018881626393321044
all_reviews,TF-IDF,10,novel,0.017565965753261626
all_reviews,TF-IDF,11,get,0.017303781242742566
all_reviews,TF-IDF,12,life,0.017144251775452615
all_reviews,TF-IDF,13,make,0.016893278325359553
all_reviews,TF-IDF,14,people,0.016259021000419958
all_reviews,TF-IDF,15,year,0.015446797483905506
positive_reviews,TF,1,story,167.0
positive_reviews,TF,2,time,135.0
positive_reviews,TF,3,like,115.0
positive_reviews,TF,4,would,101.0
positive_reviews,TF,5,character,99.0
positive_reviews,TF,6,great,98.0
positive_reviews,TF,7,life,97.0
positive_reviews,TF,8,make,93.0
positive_reviews,TF,9,novel,90.0
positive_reviews,TF,10,people,90.0
positive_reviews,TF,11,good,88.0
positive_reviews,TF,12,love,87.0
positive_reviews,TF,13,first,86.0
positive_reviews,TF,14,work,85.0
positive_reviews,TF,15,get,85.0
positive_reviews,TF-IDF,1,story,0.02653201264686469
positive_reviews,TF-IDF,2,great,0.02449738608335328
positive_reviews,TF-IDF,3,time,0.023050919491515276
positive_reviews,TF-IDF,4,love,0.02262753914043883
positive_reviews,TF-IDF,5,really,0.019686842709282355
positive_reviews,TF-IDF,6,good,0.01953660833812363
positive_reviews,TF-IDF,7,like,0.01920359880956555
positive_reviews,TF-IDF,8,life,0.018623524055440134
positive_reviews,TF-IDF,9,character,0.018598823008757606
positive_reviews,TF-IDF,10,get,0.018261790353937282
positive_reviews,TF-IDF,11,would,0.018116554811033827
positive_reviews,TF-IDF,12,year,0.017346039910474592
positive_reviews,TF-IDF,13,written,0.017188254126179563
positive_reviews,TF-IDF,14,make,0.016971165956431947
positive_reviews,TF-IDF,15,work,0.016462940102333373
negative_reviews,TF,1,would,34.0
negative_reviews,TF,2,story,26.0
negative_reviews,TF,3,really,25.0
negative_reviews,TF,4,time,25.0
negative_reviews,TF,5,people,23.0
negative_reviews,TF,6,novel,23.0
negative_reviews,TF,7,make,22.0
negative_reviews,TF,8,like,22.0
negative_reviews,TF,9,character,22.0
negative_reviews,TF,10,author,21.0
negative_reviews,TF,11,even,20.0
negative_reviews,TF,12,many,19.0
negative_reviews,TF,13,good,19.0
negative_reviews,TF,14,dont,17.0
negative_reviews,TF,15,much,16.0
negative_reviews,TF-IDF,1,would,0.0460561546814458
negative_reviews,TF-IDF,2,really,0.03733651424911933
negative_reviews,TF-IDF,3,time,0.03625645187429971
negative_reviews,TF-IDF,4,story,0.03448502132912962
negative_reviews,TF-IDF,5,like,0.0343123941853346
negative_reviews,TF-IDF,6,novel,0.03384916491440357
negative_reviews,TF-IDF,7,people,0.03381113803290497
negative_reviews,TF-IDF,8,make,0.0337673864676149
negative_reviews,TF-IDF,9,author,0.032475759544728915
negative_reviews,TF-IDF,10,good,0.030899635797025822
negative_reviews,TF-IDF,11,even,0.030122983415127362
negative_reviews,TF-IDF,12,character,0.029825735039826943
negative_reviews,TF-IDF,13,think,0.029267126319177817
negative_reviews,TF-IDF,14,many,0.02709942726027178
negative_reviews,TF-IDF,15,page,0.02583924126072576
