rank,tf_keyword,tf_score,tfidf_keyword,tfidf_score
1,book,989,book,0.07667385613004118
2,read,337,read,0.04054623379404207
3,one,303,one,0.031111840072139383
4,story,210,story,0.02546466231566674
5,time,184,time,0.02297238622739072
6,like,163,great,0.020894897508498596
7,would,152,like,0.020739953276305064
8,novel,138,really,0.020228636641424137
9,character,135,love,0.020128642283082393
10,make,124,would,0.019803069143788123
11,people,122,good,0.01933471086712065
12,really,121,character,0.01863924649659765
13,good,119,novel,0.01739537272221836
14,much,116,get,0.017114412530550304
15,love,113,life,0.016976400043608397
