rank,tf_keyword,tf_score,tfidf_keyword,tfidf_score
1,book,149,book,0.11723404653923451
2,read,46,read,0.04968094938162163
3,one,40,would,0.044808825415046605
4,would,34,one,0.04367684680681273
5,story,26,really,0.036305519621456894
6,time,25,time,0.03548008059928731
7,really,25,story,0.033891906101698906
8,novel,23,like,0.03351342613220344
9,people,23,novel,0.03335038494153639
10,character,22,make,0.0328948104523567
11,make,22,people,0.03276559557490022
12,like,22,author,0.0315119011278448
13,author,21,good,0.029663874021966873
14,even,20,even,0.029535954299707644
15,many,19,character,0.02915548903387976
