rank,tf_keyword,tf_score,tfidf_keyword,tfidf_score
1,book,756,book,0.07747038281603932
2,read,276,read,0.04399478616275758
3,one,239,one,0.032487183950528534
4,story,167,story,0.026256912000601852
5,time,135,great,0.024147401731280275
6,like,115,time,0.022694692258925217
7,would,101,love,0.02228282785266954
8,character,99,really,0.019412180690875226
9,great,98,good,0.019227874687036444
10,life,97,like,0.018960874177746407
11,make,93,life,0.01842297309077615
12,people,90,character,0.018335537719196972
13,novel,90,get,0.01806103552096352
14,good,88,would,0.01786779973011032
15,love,87,year,0.01718149415172657
